FID IID AVERAGE_LENGTH
NSFTV387 NSFTV387 6.11
NSFTV390 NSFTV390 6.42
NSFTV280 NSFTV280 5.62
NSFTV39 NSFTV39 6.29
NSFTV40 NSFTV40 5.42
NSFTV60 NSFTV60 5.03
NSFTV55 NSFTV55 6.34
NSFTV128 NSFTV128 5.18
NSFTV205 NSFTV205 6.74
NSFTV249 NSFTV249 5.34
NSFTV266 NSFTV266 5
NSFTV271 NSFTV271 6.92
NSFTV273 NSFTV273 6.68
NSFTV344 NSFTV344 4.73
NSFTV343 NSFTV343 6.34
NSFTV237 NSFTV237 7.01
NSFTV41 NSFTV41 5
NSFTV227 NSFTV227 6.18
NSFTV244 NSFTV244 6.77
NSFTV278 NSFTV278 5.37
NSFTV389 NSFTV389 5.22
NSFTV332 NSFTV332 4.99
NSFTV386 NSFTV386 6.26
NSFTV221 NSFTV221 5.7
NSFTV5 NSFTV5 6.77
NSFTV16 NSFTV16 6.87
NSFTV93 NSFTV93 6.65
NSFTV53 NSFTV53 6.98
NSFTV45 NSFTV45 6.56
NSFTV260 NSFTV260 6.27
NSFTV112 NSFTV112 6.67
NSFTV191 NSFTV191 6.76
NSFTV373 NSFTV373 7.09
NSFTV341 NSFTV341 6.26
NSFTV317 NSFTV317 5.74
NSFTV18 NSFTV18 5.25
NSFTV81 NSFTV81 6.6
NSFTV336 NSFTV336 6.18
NSFTV78 NSFTV78 6.31
NSFTV378 NSFTV378 5.53
NSFTV131 NSFTV131 6.19
NSFTV153 NSFTV153 6.56
NSFTV228 NSFTV228 5.63
NSFTV261 NSFTV261 6.07
NSFTV346 NSFTV346 6.33
NSFTV262 NSFTV262 5.42
NSFTV276 NSFTV276 4.65
NSFTV316 NSFTV316 4.93
NSFTV323 NSFTV323 5.45
NSFTV331 NSFTV331 5.81
NSFTV324 NSFTV324 5.07
NSFTV320 NSFTV320 5.22
NSFTV330 NSFTV330 6.43
NSFTV371 NSFTV371 6.25
NSFTV369 NSFTV369 6.61
NSFTV370 NSFTV370 5.28
NSFTV372 NSFTV372 5.46
NSFTV6 NSFTV6 4.95
NSFTV33 NSFTV33 5.33
NSFTV44 NSFTV44 6.67
NSFTV58 NSFTV58 5.52
NSFTV178 NSFTV178 4.9
NSFTV318 NSFTV318 5.21
NSFTV326 NSFTV326 5.39
NSFTV360 NSFTV360 6.42
NSFTV345 NSFTV345 5.59
NSFTV322 NSFTV322 6.27
NSFTV353 NSFTV353 4.41
NSFTV314 NSFTV314 6.25
NSFTV4 NSFTV4 6.18
NSFTV85 NSFTV85 5.32
NSFTV246 NSFTV246 5.54
NSFTV319 NSFTV319 5.37
NSFTV321 NSFTV321 5.08
NSFTV327 NSFTV327 5.61
NSFTV329 NSFTV329 5.39
NSFTV357 NSFTV357 5.43
NSFTV359 NSFTV359 5.59
NSFTV328 NSFTV328 5.5
NSFTV43 NSFTV43 5.18
NSFTV29 NSFTV29 5.25
NSFTV163 NSFTV163 5.45
NSFTV3 NSFTV3 5.49
NSFTV57 NSFTV57 5.32
NSFTV110 NSFTV110 6.38
NSFTV207 NSFTV207 6.4
NSFTV74 NSFTV74 6.69
NSFTV77 NSFTV77 5.04
NSFTV76 NSFTV76 6.26
NSFTV106 NSFTV106 6.57
NSFTV123 NSFTV123 5.26
NSFTV126 NSFTV126 5.3
NSFTV130 NSFTV130 5.27
NSFTV141 NSFTV141 5.42
NSFTV142 NSFTV142 6.09
NSFTV148 NSFTV148 6.72
NSFTV156 NSFTV156 5.27
NSFTV208 NSFTV208 5.63
NSFTV209 NSFTV209 5.26
NSFTV252 NSFTV252 6.84
NSFTV299 NSFTV299 6.11
NSFTV337 NSFTV337 5.58
NSFTV349 NSFTV349 4.93
NSFTV356 NSFTV356 5.54
NSFTV129 NSFTV129 5.22
NSFTV189 NSFTV189 5.13
NSFTV196 NSFTV196 5.25
NSFTV222 NSFTV222 6.12
NSFTV313 NSFTV313 6.52
NSFTV325 NSFTV325 5.63
NSFTV35 NSFTV35 6.11
NSFTV71 NSFTV71 5.74
NSFTV72 NSFTV72 6.27
NSFTV132 NSFTV132 6.22
NSFTV171 NSFTV171 6.37
NSFTV203 NSFTV203 6.27
NSFTV241 NSFTV241 5.36
NSFTV235 NSFTV235 5.64
NSFTV284 NSFTV284 6.76
NSFTV304 NSFTV304 5.41
NSFTV348 NSFTV348 6.2
NSFTV30 NSFTV30 6.19
NSFTV17 NSFTV17 4.74
NSFTV21 NSFTV21 4.95
NSFTV90 NSFTV90 5.38
NSFTV137 NSFTV137 5.71
NSFTV162 NSFTV162 5.57
NSFTV231 NSFTV231 5.52
NSFTV234 NSFTV234 5.6
NSFTV269 NSFTV269 6.69
NSFTV339 NSFTV339 5.65
NSFTV385 NSFTV385 6.27
NSFTV138 NSFTV138 5.27
NSFTV315 NSFTV315 6.34
NSFTV125 NSFTV125 6.12
